,price,buy_prob,sell_prob,signal
20370,21033.77522358,0.37682608,0.42293492,2
20371,20828.80533229,0.3879323,0.45178026,2
20372,20855.52377882,0.37672722,0.405812,2
20373,20808.20373987,0.39100868,0.43996316,2
20374,20541.75604345,0.36515215,0.4827447,2
20375,20543.36852413,0.40287077,0.42510983,2
20376,20519.15762842,0.4180788,0.41941208,2
20377,20517.00891394,0.38220575,0.43476656,2
20378,20494.15966148,0.3746871,0.42210966,2
20379,20389.10433593,0.40293765,0.4659675,2
20380,20432.72847815,0.4084453,0.40590817,2
20381,20516.03955098,0.39679557,0.45700085,2
20382,20539.62534944,0.39317146,0.40588558,2
20383,20518.80542152,0.42768896,0.42482337,2
20384,20459.55346826,0.4001965,0.45076045,2
20385,20584.1905311,0.40317616,0.40545285,2
20386,20356.76354878,0.422168,0.4535003,2
20387,20373.62529394,0.37467435,0.488167,2
20388,20421.91697077,0.38900903,0.44289067,2
20389,20399.71327645,0.42911294,0.43200853,2
20390,20597.19554725,0.3200731,0.541675,0
20391,20549.44120725,0.40886292,0.4545654,2
20392,20492.86554005,0.39102235,0.48770347,2
20393,20419.01474412,0.40132347,0.46888563,2
20394,20224.04083112,0.38333914,0.44572088,2
20395,19982.86071899,0.38848153,0.4641553,2
20396,19949.95365449,0.4448477,0.38698602,2
20397,19798.93920704,0.34926063,0.527285,0
20398,19873.74907092,0.39682782,0.42621732,2
20399,19954.64871513,0.41762632,0.4195797,2
20400,19925.12401247,0.4083469,0.4395746,2
20401,19985.0630557,0.41330358,0.423348,2
20402,19937.18017729,0.37801638,0.40518588,2
20403,19827.44932649,0.42167696,0.4022974,2
20404,19714.28155839,0.28849447,0.55690837,0
20405,19754.1756015,0.41713342,0.4301182,2
20406,19580.33178801,0.39748192,0.45443523,2
20407,19602.73353032,0.40331227,0.43471864,2
20408,19754.60128023,0.41068763,0.44094017,2
20409,19854.55622694,0.49290672,0.33292863,2
20410,19764.33467249,0.4045756,0.47178477,2
20411,19898.05245854,0.36468902,0.4948496,2
20412,19865.23512509,0.48112646,0.34481785,2
20413,19883.21244795,0.3809666,0.43820438,2
20414,19857.5708055,0.36666793,0.43522286,2
20415,19707.60400974,0.41628602,0.4250624,2
20416,19377.29809377,0.4050266,0.4655407,2
20417,19442.12483501,0.46544397,0.34651783,2
20418,19329.07484592,0.38449755,0.3949876,2
20419,19356.03982091,0.47323856,0.35575074,2
20420,19308.91576081,0.36488038,0.47703046,2
20421,19407.99366601,0.35691997,0.5164524,2
20422,19408.11080955,0.3563341,0.49489173,2
20423,19488.96882817,0.44727948,0.39919335,2
20424,19453.7647803,0.38803753,0.44460383,2
20425,19455.72192834,0.4177313,0.41555762,2
20426,19499.16548089,0.49355966,0.28878075,2
20427,19527.42907494,0.39651966,0.37936643,2
20428,19686.33222694,0.34191942,0.52882445,0
20429,19834.80547795,0.3720497,0.4957062,2
20430,19789.16883203,0.3990899,0.4279991,2
20431,19769.19769384,0.39014837,0.38917407,2
20432,19824.46251893,0.42375177,0.3926522,2
20433,19148.11783215,0.37833294,0.48038137,2
20434,19279.14717247,0.41301936,0.46418533,2
20435,19555.92319122,0.37078413,0.5027579,2
20436,19438.96113732,0.4096778,0.45181763,2
20437,19626.28857608,0.43517494,0.39696488,2
20438,19866.31239591,0.33372843,0.5375424,0
20439,19827.80759279,0.44191554,0.38391548,2
20440,19633.73727854,0.38160318,0.47175342,2
20441,19658.56208778,0.3791304,0.48198485,2
20442,19909.7321487,0.36276358,0.5006369,2
20443,19830.44886386,0.35656038,0.47419527,2
20444,20216.65422938,0.41800272,0.4195178,2
20445,20289.98019966,0.49562582,0.31301138,2
20446,20261.91609152,0.44412693,0.41917208,2
20447,20240.31200329,0.44412693,0.41917208,2
20448,20206.11079081,0.40334225,0.405208,2
20449,20066.62519807,0.40863892,0.46462312,2
20450,20095.97005038,0.39802742,0.41334778,2
20451,20008.45296345,0.39913383,0.4626394,2
20452,19976.00760719,0.40691024,0.43703067,2
20453,19749.22786351,0.40483767,0.45731458,2
20454,19808.8006876,0.35126382,0.5080923,2
20455,19768.18162905,0.41642925,0.43816787,2
20456,19722.43947901,0.38196623,0.49956825,2
20457,19768.7598401,0.4323914,0.41721871,2
20458,19751.08785349,0.50469685,0.32804993,2
20459,19877.18705086,0.4576456,0.37972122,2
20460,20379.32653433,0.39092052,0.48848823,2
20461,20211.89780837,0.4720381,0.36684403,2
20462,20731.88673159,0.4528834,0.3759126,2
20463,20686.10994235,0.38989526,0.49253276,2
20464,20594.68614063,0.3919296,0.45582616,2
20465,20674.29917298,0.4230157,0.40983525,2
20466,20465.46064192,0.41068122,0.41803804,2
20467,20488.70858168,0.41862655,0.41703045,2
20468,20581.20021004,0.41577342,0.40802234,2
20469,20391.69455032,0.39377105,0.45867,2
20470,20619.24474432,0.34069455,0.4639123,0
20471,20481.94079261,0.3786232,0.4685421,2
20472,20605.74470237,0.35256317,0.44065,2
20473,20531.01886627,0.420959,0.44289988,2
20474,20655.45704207,0.42891768,0.41397792,2
20475,20591.78202829,0.38009724,0.40191165,2
20476,20822.6517274,0.40133893,0.45210293,2
20477,20854.50385389,0.4453472,0.38597658,2
20478,20889.8555534,0.44142294,0.37553886,2
20479,20858.90405482,0.3676452,0.43699443,2
20480,20762.72988588,0.36221805,0.4594994,2
20481,20975.58139567,0.3955105,0.45497426,2
20482,20851.50114046,0.4045756,0.47178477,2
20483,20879.25140752,0.38405624,0.47750536,2
20484,20785.0070419,0.48220977,0.29602233,2
20485,20747.42754517,0.44400173,0.39684874,2
20486,20778.46270538,0.34468293,0.45315206,0
20487,21029.36756914,0.39821544,0.44570568,2
20488,21157.92697048,0.43502808,0.3952034,2
20489,20930.40028613,0.38807398,0.46040973,2
20490,20962.3575805,0.3785382,0.46002588,2
20491,20885.5093465,0.3935419,0.4317625,2
20492,20824.93743786,0.45286965,0.34973273,2
20493,20674.92090974,0.40326253,0.4481511,2
20494,20709.11914327,0.41230974,0.40272006,2
20495,20697.72093437,0.41104352,0.43425333,2
20496,20732.31947554,0.37451303,0.46016523,2
20497,20740.450663,0.36980385,0.44729748,2
20498,20589.4222344,0.41618347,0.41359827,2
20499,20542.82400584,0.36515567,0.502982,2
20500,20543.92164202,0.37043586,0.45017937,2
20501,20601.93500139,0.41949558,0.4170719,2
20502,20608.86580186,0.3396733,0.49583882,0
20503,20627.60693163,0.42155233,0.41421396,2
20504,20614.95880091,0.40003258,0.44279128,2
20505,20692.95378505,0.37788004,0.42132086,2
20506,20837.16168586,0.41916284,0.4516279,2
20507,20812.88372721,0.3729451,0.48166594,2
20508,20944.96084576,0.36113688,0.5106069,2
20509,21466.79694128,0.335091,0.530323,0
20510,21240.96644497,0.35382557,0.50969315,2
20511,21287.1197785,0.4458547,0.3915234,2
20512,21185.62349268,0.4404119,0.39576855,2
20513,21208.1199753,0.37838376,0.4839034,2
20514,21193.21748545,0.44798416,0.40598702,2
20515,21291.74436006,0.38482833,0.432921,2
20516,21191.3997511,0.38386688,0.4950813,2
20517,21295.45907483,0.39701116,0.4816417,2
20518,21158.27550445,0.3864439,0.47400624,2
20519,21161.45504274,0.4198742,0.43505558,2
20520,21318.48844567,0.3785035,0.47371683,2
20521,21253.57967235,0.44011867,0.40931422,2
20522,21354.7717166,0.36338857,0.4862189,2
20523,21571.15624889,0.3895245,0.4489573,2
20524,21462.12725621,0.36943078,0.48633176,2
20525,21453.56092329,0.3720218,0.47336942,2
20526,21365.33735275,0.35527816,0.50601,2
20527,21383.04222076,0.4042595,0.43016884,2
20528,21451.80770364,0.35349596,0.5026191,2
20529,21379.76015132,0.39712125,0.43331432,2
20530,21119.78815044,0.4421245,0.42276084,2
20531,21197.4982571,0.4412585,0.38469216,2
20532,21167.35740611,0.40031713,0.40966898,2
20533,21149.19120446,0.4244422,0.42232502,2
20534,20917.92480637,0.43771058,0.42852357,2
20535,20968.43356589,0.4010922,0.4704251,2
20536,21027.91590137,0.34034407,0.46003583,0
20537,20930.3107752,0.39679557,0.45700085,2
20538,21013.67393814,0.41058117,0.42755675,2
20539,20999.12523987,0.40835842,0.40565127,2
20540,20794.19901682,0.34866226,0.49469358,0
20541,20819.48909902,0.39223036,0.44512942,2
20542,20976.79583021,0.39014477,0.43690735,2
20543,21331.39643834,0.36163172,0.48289374,2
20544,21276.26523938,0.35165623,0.5154068,2
20545,21294.27866789,0.4219549,0.41818592,2
20546,21858.32507736,0.43567023,0.43341333,2
20547,22191.9296779,0.32318288,0.53131396,0
20548,22242.2569365,0.3735344,0.48943862,2
20549,22286.85556021,0.37296656,0.49859136,2
20550,22237.83253001,0.358037,0.509555,2
20551,22193.90993979,0.35626602,0.51034445,2
20552,22129.2994737,0.31380835,0.5747439,0
20553,22281.67790415,0.34187344,0.5281667,0
20554,22137.33123952,0.40106255,0.47637135,2
20555,22209.90640487,0.3443227,0.52551264,0
20556,22674.04167299,0.35327977,0.5143542,2
20557,22200.11314816,0.3326193,0.5485785,0
20558,21874.41715338,0.40741774,0.45876193,2
20559,21830.30520067,0.39448196,0.46347052,2
