prob_sell,prob_hold,prob_buy,predicted_signal
0.3647466,0.28817192,0.3470815,-1
0.33855706,0.31277022,0.34867278,1
0.33063918,0.34912166,0.32023913,0
0.33524612,0.32472345,0.3400304,1
0.372545,0.2598885,0.3675665,-1
0.3517383,0.29935995,0.34890184,-1
0.3485294,0.2921317,0.35933894,1
0.3542332,0.28385583,0.36191103,1
0.36151338,0.27732152,0.36116508,-1
0.3759747,0.2511974,0.37282792,-1
0.37281471,0.25157067,0.3756146,1
0.36291528,0.27015024,0.3669345,1
0.34555048,0.29840717,0.35604236,1
0.3500086,0.28580466,0.36418673,1
0.2829267,0.40493307,0.31214023,0
0.27687758,0.41556093,0.3075615,0
0.27908146,0.4133089,0.3076096,0
0.31416148,0.36149636,0.3243422,0
0.3431047,0.3274128,0.3294824,-1
0.3628567,0.3163742,0.32076913,-1
0.30706787,0.37481123,0.3181209,0
0.3731534,0.27092186,0.3559248,-1
0.3718434,0.2669756,0.361181,-1
0.3639037,0.28131938,0.35477692,-1
0.3098389,0.35440892,0.3357522,0
0.3746722,0.2502148,0.37511304,1
0.3792437,0.26069382,0.36006245,-1
0.37844917,0.2444011,0.3771498,-1
0.37277302,0.26464123,0.36258584,-1
0.3750572,0.24886727,0.3760755,1
0.31300378,0.3497607,0.33723554,0
0.32495445,0.32834944,0.3466961,1
0.32699093,0.33178297,0.3412261,1
0.34085053,0.35760164,0.30154783,0
0.2797961,0.41221166,0.30799228,0
0.3181574,0.34708354,0.3347591,0
0.3124947,0.362758,0.32474732,0
0.32825732,0.35291728,0.31882536,0
0.32675573,0.34114164,0.33210266,0
0.28594974,0.39681938,0.31723094,0
0.28157368,0.47486854,0.24355778,0
0.27340642,0.42406166,0.30253196,0
0.2553384,0.44862807,0.2960336,0
0.31377777,0.36274046,0.3234818,0
0.3509387,0.3111503,0.33791098,-1
0.3364228,0.3535052,0.31007203,0
0.33269492,0.33202493,0.33528024,1
0.33248532,0.3206587,0.34685606,1
0.30652952,0.37595358,0.31751692,0
0.33539462,0.31752244,0.3470829,1
0.34388256,0.29656413,0.35955334,1
0.37206927,0.25716728,0.37076354,-1
0.37482625,0.26814726,0.3570265,-1
0.37464935,0.25805667,0.36729395,-1
0.3720682,0.25799173,0.36994007,-1
0.3762501,0.27021492,0.35353497,-1
0.3592886,0.27142274,0.36928868,1
0.38012698,0.23752853,0.3823445,1
0.3515185,0.28987584,0.35860565,1
0.36594725,0.2753939,0.35865885,-1
0.3411666,0.304663,0.35417032,1
0.31584933,0.34394646,0.34020418,0
0.32719752,0.36184114,0.3109613,0
0.33492112,0.34340838,0.32167053,0
0.3089015,0.40411586,0.2869826,0
0.2406386,0.48395473,0.2754067,0
0.28075692,0.40993637,0.30930668,0
