prob_sell,prob_hold,prob_buy,predicted_signal
0.3090546,0.38712645,0.303819,0
0.29352584,0.42354584,0.28292838,0
0.34054294,0.32308233,0.33637476,0
0.30350736,0.39142576,0.30506688,0
0.3680143,0.2659736,0.36601213,0
0.4289764,0.11261464,0.458409,0
0.40787753,0.17615056,0.41597188,0
0.32425037,0.36248422,0.31326544,0
0.39691,0.25641856,0.34667143,0
0.34763736,0.33932462,0.31303808,0
0.34949392,0.3150575,0.33544862,0
0.3444387,0.33239284,0.3231685,0
0.32069385,0.37600997,0.30329612,0
0.36986393,0.27013242,0.36000365,0
0.368759,0.27251923,0.3587217,0
0.35406652,0.31786066,0.32807282,0
0.37085873,0.26721582,0.3619254,0
0.38061443,0.27728698,0.34209862,0
0.36030024,0.28904757,0.35065222,0
0.37156248,0.28572413,0.3427134,0
0.38783258,0.2758352,0.3363321,0
0.35848346,0.29317078,0.34834567,0
0.3789459,0.22661276,0.39444137,0
0.34868777,0.31576127,0.335551,0
0.37143117,0.2640106,0.36455828,0
0.33233523,0.337923,0.32974172,0
0.34375107,0.32358044,0.3326685,0
0.371605,0.26208198,0.36631298,0
0.36667228,0.27684984,0.35647786,0
0.34997612,0.31139782,0.33862606,0
0.35276374,0.31052607,0.3367102,0
0.36328587,0.29211968,0.3445945,0
0.3494418,0.3123436,0.33821464,0
0.35251138,0.31303522,0.33445343,0
0.37865967,0.26902908,0.3523113,0
0.3097836,0.39045644,0.29976004,0
0.3430752,0.3237398,0.33318505,0
0.37592012,0.2684731,0.35560676,0
0.36996958,0.2848863,0.34514415,0
0.3645982,0.26001984,0.37538204,0
0.37437156,0.27131134,0.35431713,0
0.37832278,0.26551828,0.3561589,0
0.34128818,0.32308462,0.33562723,0
0.40692317,0.24285907,0.35021776,0
0.32759804,0.3491383,0.32326367,0
0.36151546,0.2915337,0.34695074,0
0.42330125,0.12031328,0.4563855,0
0.34372112,0.32521966,0.33105925,0
0.3362183,0.33446553,0.32931617,0
0.3504021,0.3105224,0.33907554,0
0.38274106,0.21900979,0.39824915,0
0.3789202,0.23811169,0.38296813,0
0.37024102,0.27995986,0.3497991,0
0.38218582,0.23190606,0.38590816,0
0.379094,0.25355506,0.36735097,0
0.33164373,0.35119665,0.3171596,0
