prob_sell,prob_hold,prob_buy,predicted_signal
0.32140607,0.35203698,0.32655698,0
0.30556858,0.37508363,0.31934774,0
0.33880046,0.33851376,0.32268572,0
0.30401734,0.42433792,0.2716448,0
0.28587702,0.40279737,0.31132564,0
0.29810366,0.40558603,0.29631028,0
0.26180765,0.4473683,0.29082415,0
0.30367994,0.38049778,0.3158223,0
0.28031793,0.4162902,0.30339187,0
0.3247388,0.3385537,0.33670747,0
0.30923173,0.37515345,0.31561485,0
0.37406212,0.2689793,0.35695854,0
0.34014335,0.33846095,0.3213957,0
0.3271649,0.337002,0.33583313,0
0.3951462,0.27257916,0.33227468,1
0.3529909,0.28997272,0.3570363,0
0.3090717,0.36905637,0.32187188,0
0.31924048,0.38413325,0.29662624,0
0.251235,0.46566853,0.28309643,0
0.3097193,0.38313818,0.30714262,0
0.28374225,0.40285733,0.31340045,0
0.29376915,0.3866914,0.31953937,0
0.30584586,0.37891075,0.31524336,0
0.25458246,0.43768483,0.30773273,0
0.30592433,0.40275404,0.29132158,0
0.23082253,0.5327991,0.23637839,0
0.31532824,0.35656378,0.328108,0
0.29511222,0.41184106,0.29304674,0
0.28398278,0.40356055,0.3124567,0
0.36424568,0.310238,0.32551628,0
0.33616483,0.34675413,0.317081,0
0.36380586,0.28746903,0.34872514,0
0.3743119,0.2688949,0.35679317,0
0.37850383,0.2739494,0.3475467,1
0.3992231,0.3072695,0.2935074,1
0.35184717,0.3027309,0.34542197,0
0.3804991,0.30532083,0.31418008,1
0.34341395,0.34246823,0.31411782,0
0.31214768,0.39176735,0.29608497,0
0.33584782,0.32838985,0.33576235,0
0.2922708,0.44014254,0.26758668,0
0.2823998,0.43902835,0.27857178,0
0.23376632,0.49587265,0.2703611,0
0.26905772,0.42601535,0.30492687,0
0.32422763,0.3486592,0.32711324,0
0.30573118,0.37176993,0.3224989,0
0.2842571,0.423263,0.29247987,0
0.28301543,0.41247135,0.30451322,0
0.29973993,0.38349646,0.31676364,0
0.3053227,0.37739804,0.3172793,0
0.31586465,0.4064505,0.2776848,0
0.26675937,0.4424023,0.2908383,0
0.3734061,0.26811233,0.35848156,0
0.37283164,0.2661166,0.3610518,0
0.31537497,0.3891729,0.2954521,0
0.35846925,0.35556746,0.28596333,0
0.1473698,0.6101344,0.24249575,0
0.34148154,0.40191704,0.2566014,0
0.3495405,0.2818642,0.36859524,0
0.3382313,0.33801916,0.32374957,0
0.3551124,0.34138572,0.30350184,0
0.31805968,0.3897721,0.29216826,0
0.34719026,0.31603894,0.33677083,0
0.28425023,0.4104281,0.30532166,0
0.26377332,0.42761225,0.30861446,0
0.2825671,0.41375855,0.30367428,0
0.31406423,0.3796392,0.30629653,0
0.2576742,0.45490912,0.2874166,0
0.30891666,0.39086804,0.3002153,0
0.20917091,0.51653945,0.27428964,0
0.36019152,0.29204845,0.34776,0
0.37318712,0.30076635,0.32604653,0
0.31285053,0.40055954,0.2865899,0
0.2690547,0.43536067,0.29558453,0
0.2940111,0.39204067,0.31394824,0
0.30190095,0.3827617,0.31533733,0
0.32686755,0.34443024,0.32870218,0
0.34874097,0.30901784,0.34224123,0
0.37425834,0.269049,0.35669264,0
0.380094,0.27031246,0.34959358,1
0.3740588,0.26911807,0.3568231,0
0.41698885,0.28218532,0.30082574,1
0.36272043,0.34321737,0.2940622,0
0.34914297,0.31141162,0.3394454,0
0.36654213,0.32056236,0.31289548,0
0.3544085,0.30819464,0.3373969,0
0.30254894,0.4186685,0.27878264,0
0.32018173,0.35194838,0.32786986,0
0.3085816,0.37838593,0.31303245,0
0.26358312,0.44433922,0.29207763,0
0.3094432,0.4063672,0.2841896,0
0.34661064,0.31174514,0.3416442,0
0.24198052,0.47548407,0.28253546,0
0.31843624,0.3556342,0.32592958,0
0.27774343,0.44718394,0.2750726,0
0.3352836,0.31343117,0.35128522,0
